fund_code,fund,year,revenues_and_sources,expenditures_and_uses,surplus,ending_fund_balance
A,General Fund,2025,71010825.93,66007499.29,5003326.64,33407250.75
A,General Fund,2024,64394577.88,62603057.36,1791520.52,28403924.11
A,General Fund,2023,60760553.87,54019179.55,6741374.32,26612403.66
CD,Special Grant,2025,576978.69,570041.34,6937.35,136477.08
CD,Special Grant,2024,320131.61,241685.67,78445.94,129539.73
CD,Special Grant,2023,323281.38,317546.78,5734.6,51093.79
CM,Miscellaneous Special Revenue,2025,8582969.61,3999024.4,4583945.21,30784387.48
CM,Miscellaneous Special Revenue,2024,10900614.65,3669577.97,7231036.68,26200442.27
CM,Miscellaneous Special Revenue,2023,8061595.43,3655170.24,4406425.19,18969405.59
DA,Highway (Town-wide),2025,7971863.33,7777382.44,194480.89,5594416.1
DA,Highway (Town-wide),2024,7807557.11,6964296.16,843260.95,5399935.21
DA,Highway (Town-wide),2023,7696177.65,8186119.9,-489942.25,4556674.26
ES,Enterprise Sewer,2025,8739457.72,9831597.24,-1092139.52,
ES,Enterprise Sewer,2024,9108476.23,11396069.13,-2287592.9,
ES,Enterprise Sewer,2023,6061140.68,8400222.41,-2339081.73,
EW,Enterprise Water,2025,14934370.72,9092518.79,5841851.93,
EW,Enterprise Water,2024,12518504.27,8545960.11,3972544.16,
EW,Enterprise Water,2023,13272457.26,7883708.53,5388748.73,
H,Capital Projects,2025,2012254.48,1824640.13,187614.35,562386.45
H,Capital Projects,2024,5396046.12,3694028.16,1702017.96,374772.1
H,Capital Projects,2023,25953882.8,23082927.91,2870954.89,1327245.76
MS,Self Insurance,2025,599010.02,761634.03,-162624.01,
MS,Self Insurance,2024,754433.3,879319.75,-124886.45,
MS,Self Insurance,2023,1037149.46,727652.31,309497.15,
SL,Street Lighting Districts,2025,1073292.8,821958.76,251334.04,2682970.49
SL,Street Lighting Districts,2024,1243990.38,1072100.43,171889.95,2431636.45
SL,Street Lighting Districts,2023,1441933.03,1081031.77,360901.26,2259746.5
SM,Special Districts (Misc.),2025,1945305.07,2063543.9,-118238.83,756396.47
SM,Special Districts (Misc.),2024,1700790.15,1873729.13,-172938.98,874635.3
SM,Special Districts (Misc.),2023,1718495.23,1708344.53,10150.7,1047574.28
SR,Refuse and Garbage District,2025,5273588.25,5041555.06,232033.19,2046399.37
SR,Refuse and Garbage District,2024,5102681.19,4458706.52,643974.67,1814366.18
SR,Refuse and Garbage District,2023,4524419.35,4237738.8,286680.55,1170391.51
ST,Public Parking District,2025,223863.18,124583.55,99279.63,579078.1
ST,Public Parking District,2024,217563.85,124703.71,92860.14,479798.47
ST,Public Parking District,2023,268194.5,115113.63,153080.87,386938.33
TC,Custodial,2025,0.0,0.0,0.0,
TC,Custodial,2024,0.0,0.0,0.0,
TC,Custodial,2023,0.0,0.0,0.0,
V,Debt Service,2025,5285238.92,5285238.92,0.0,
V,Debt Service,2024,5648606.97,5648606.97,0.0,
V,Debt Service,2023,5032357.71,5032357.71,0.0,
