fund_code,fund,2020,2021,2022,2023,2024,2025,2026
A01,General Fund,51359400.0,51050700.0,52487600.0,55354900.0,60797800.0,64852829.0,69113159.0
A04,Police Athletic League,75900.0,75900.0,75900.0,79400.0,82250.0,82250.0,81490.0
A06,Recreation Program Fund,538900.0,534700.0,534700.0,523100.0,528100.0,528525.0,504500.0
CM1,Business Improvement District,124200.0,127400.0,130700.0,174400.0,178200.0,183500.0,144136.0
CM2,East Creek Docking Facility,266000.0,266600.0,287200.0,289800.0,297700.0,294323.0,288100.0
CM4,Community Preservation Fund,5008600.0,4699300.0,4587800.0,3207800.0,3200000.0,3090900.0,2979300.0
DA1,Highway Fund,7179300.0,6813000.0,6607100.0,7338300.0,7507500.0,7721800.0,7919250.0
ES1,Riverhead Sewer District,6903300.0,6535000.0,6543600.0,7081400.0,7310268.0,7745384.0,8142722.0
ES3,Calverton Sewer District,754400.0,711900.0,744300.0,911600.0,934017.0,1393357.0,1488357.0
ES5,Riverhead Scavenger Waste,1665000.0,1641500.0,1757400.0,1763500.0,1955761.0,2069799.0,2231988.0
EW1,Water District,8704900.0,9185300.0,8819900.0,9897800.0,10464100.0,10663000.0,11008655.0
MS1,Workers Compensation Fund,950000.0,950000.0,950000.0,950000.0,1050000.0,1050000.0,1050000.0
MS2,Risk Retention Fund,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0,450000.0
SL1,Street Lighting District,1218600.0,1209400.0,1209400.0,1179600.0,1124900.0,954400.0,926533.0
SM1,Ambulance District,1606700.0,1646400.0,1668300.0,3783600.0,4029300.0,4513349.0,2388824.0
SR1,Refuse and Garbage District,3329300.0,3897300.0,3835800.0,4468100.0,4977700.0,5165700.0,5254540.0
ST1,Public Parking District,178700.0,183300.0,188100.0,191800.0,195700.0,201600.0,207100.0
V01,Debt Service Fund,10044100.0,9578400.0,9137200.0,6217500.0,6266400.0,6282600.0,6888150.0
Z14,Calverton Parks Community Development Agency,33100.0,33100.0,33100.0,40100.0,43000.0,43000.0,44100.0
